DO;PJ;BS;CALC
38;7;100331977;100331978+100335798
38;7;100331978;
38;7;100331979;
38;7;100335798;
38;7;100335799;100335800
38;7;100335800;
38;7;100335801;100335802+100335804
38;7;100335802;
38;7;100335803;
38;7;100335804;
38;7;100335805;100335806+100331985+100331986
38;7;100335806;100335802
38;7;100330143;100335803
38;7;100331985;100335804
38;7;100331986;100331987+100331988+100332914
38;7;100331987;
38;7;100334996;
38;7;100331988;
38;7;100332914;
38;7;S2;
38;7;100331989;100331990+100331991
38;7;100331990;
38;7;100331991;
38;7;100331853;100331992+100332000+100330073+100332010+100332011+100332017+100332020+100332021+100332022+100332023+100332024+100332025
38;7;100331992;100331994+100331996+100331998
38;7;100331993;100331995+100331997+100331999
38;7;100331994;
38;7;100331995;
38;7;100331996;
38;7;100331997;
38;7;100331998;
38;7;100331999;
38;7;100332000;100332001
38;7;100332001;100330068+100330069+100330070+100330071+100337112
38;7;100330068;
38;7;100330069;
38;7;100330070;
38;7;100330071;
38;7;100337112;
38;7;S1;
38;7;100330010;100331980+100331981
38;7;100331980;
38;7;100331981;
38;7;100330073;100332003
38;7;100332003;
38;7;100332004;
38;7;S3;
38;7;100332005;
38;7;100332006;
38;7;100334997;
38;7;100332008;
38;7;100332009;
38;7;100332010;
38;7;100332011;100332012
38;7;100332012;
38;7;S4;
38;7;100332013;
38;7;100332014;
38;7;100332016;
38;7;100332017;100332018+100332019+100335688
38;7;100335688;
38;7;100332018;
38;7;100332019;
38;7;100332020;
38;7;100332021;
38;7;100332022;
38;7;100332023;
38;7;100332024;
38;7;100332025;
38;7;100332026;
38;7;100332942;
38;7;100335430;
38;7;S5;
38;7;100335808;100331977-100335799-100335801
38;7;100335809;100335805-100331989-100331853+100332942-100335430
